horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,37.19848215023391,-37.19848215023391,21.0,24.0,20.0,379.0,3.0,0.0079155672823219,3.598852004557211,1.0,5760.0,0.8333333333333334,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,35.63558109080937,-35.63558109080937,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,13.233298149199731,-13.233298149199731,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,7.700140975836636,-7.700140975836636,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,18.15712993157833,-18.15712993157833,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,5.0,3.0,0.6,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,28.928171919308916,-28.928171919308916,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,52.266052440173716,-52.266052440173716,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,16.787936023485425,-16.787936023485425,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,22.24380949832212,-22.24380949832212,32.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,6.597792226595277,-6.597792226595277,57.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,9.495800278239734,-9.495800278239734,38.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,47.254184581102635,-47.254184581102635,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,15.17801230906653,-15.17801230906653,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,5760.0,0.0,0.0
